Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
79	-392.54276	44.17546	-330.84308	-473.52213	-385.41324	45.82457	-303.5134	-447.29407	100.0	100.0	118499	-84.31139	6.1817417	-70.64151	-109.10027	-84.31131	6.1958385	-70.46222	-108.46422	84.11357	1.0381317	77104.29651713371
80	-400.23743	39.38658	-341.02457	-460.93826	-375.7674	35.469822	-326.98434	-430.29245	100.0	100.0	119999	-84.256134	6.20573	-70.54149	-109.331856	-84.25589	6.2199	-70.25042	-108.54299	84.06612	1.0275205	78150.58396100998
81	-425.88177	43.02468	-304.5428	-475.71194	-399.74887	53.8356	-260.9414	-468.66486	100.0	100.0	121499	-84.25053	6.2392335	-70.43295	-109.60938	-84.25031	6.2532177	-70.28365	-108.85833	84.03122	1.0353118	79264.02669501305
82	-401.32297	37.82545	-330.07208	-447.685	-358.40308	67.9499	-271.42508	-479.758	100.0	100.0	122999	-84.268845	6.2570586	-70.552124	-109.51277	-84.26884	6.2713428	-70.574715	-108.59692	84.03699	1.0435054	80802.64448404312
83	-391.637	38.766987	-305.61127	-451.8819	-413.26807	36.172955	-332.7779	-461.62103	100.0	100.0	124499	-84.19003	6.24912	-70.58282	-109.9856	-84.18986	6.264488	-70.26003	-109.152054	83.969284	1.0410596	81778.1221318245
84	-422.6877	33.81944	-362.82492	-478.59918	-406.84305	55.792667	-274.66248	-493.6005	100.0	100.0	125999	-84.18826	6.271673	-70.42871	-110.169785	-84.18806	6.2871914	-70.30172	-108.98473	83.9677	1.0637498	82334.5481030941
85	-406.80652	30.911358	-340.0091	-448.181	-401.23172	21.660378	-353.78204	-434.96826	100.0	100.0	127499	-84.19337	6.3217206	-70.43436	-110.35853	-84.19299	6.3390803	-70.38514	-108.21864	83.98467	1.0522449	82860.51313495636
86	-406.50226	36.63111	-347.84616	-480.1513	-402.8331	45.427746	-329.41443	-481.3175	100.0	100.0	128999	-84.183426	6.319973	-70.332596	-110.03316	-84.1831	6.336197	-70.32043	-108.79245	83.987816	1.0502917	84148.45869994164
87	-422.1362	34.47134	-321.71127	-464.27463	-417.21606	31.407915	-367.31177	-473.52838	100.0	100.0	130499	-84.18844	6.31053	-70.25733	-109.886185	-84.188065	6.326708	-70.054886	-108.147606	83.993065	1.0631263	84751.63382005692
88	-418.06952	25.068333	-368.4447	-455.12512	-375.2121	54.07562	-294.28314	-468.51263	100.0	100.0	131999	-84.20782	6.3271084	-70.05892	-110.72598	-84.207535	6.3442388	-70.10706	-108.764885	84.0276	1.0712063	86091.2308909893
89	-421.78278	28.174791	-360.32938	-468.77548	-364.32465	27.670277	-316.7169	-407.0772	100.0	100.0	133499	-84.23266	6.3388615	-70.17573	-109.92999	-84.23229	6.3548627	-70.249306	-108.19936	84.0487	1.0564228	87426.59450483322
90	-424.26578	50.89892	-281.56943	-479.73648	-375.41376	42.95068	-311.38986	-445.75183	100.0	100.0	134999	-84.248726	6.3240533	-70.04975	-109.79843	-84.248695	6.341312	-70.15564	-109.09613	84.053024	1.0865153	88154.56835079193
91	-397.0886	40.559963	-301.2073	-452.59705	-382.48676	54.959755	-286.504	-455.39526	100.0	100.0	136499	-84.277275	6.3503356	-70.19826	-109.692345	-84.27697	6.36718	-70.22043	-108.00834	84.05247	1.0743288	88884.099452734
92	-403.93964	39.566517	-291.43045	-446.96915	-393.01233	34.903828	-339.7349	-465.4102	100.0	100.0	137999	-84.26735	6.3367662	-70.282555	-110.259	-84.26693	6.352952	-70.07712	-109.44232	84.061	1.09273	89804.94254207611
93	-418.34045	37.36295	-344.63394	-468.4459	-364.57864	37.57015	-311.09308	-441.92398	100.0	100.0	139499	-84.28776	6.346016	-70.21471	-110.61269	-84.28765	6.363882	-69.986725	-109.40596	84.07923	1.0812552	90722.37177205086
94	-412.36517	45.654644	-346.4567	-481.7466	-376.4212	52.549873	-300.45258	-461.00125	100.0	100.0	140999	-84.2868	6.357887	-70.153336	-109.29288	-84.286606	6.376185	-70.20751	-108.83763	84.060585	1.0867041	91856.67771887779
95	-417.39896	45.727398	-323.82297	-464.95496	-386.16608	49.69158	-279.0046	-451.00354	100.0	100.0	142499	-84.29691	6.3688593	-70.118614	-109.85341	-84.2965	6.386476	-70.13376	-108.71242	84.10051	1.087363	92529.66408991814
96	-411.27692	42.21232	-344.4065	-475.0445	-403.7232	52.30478	-305.23053	-482.81485	100.0	100.0	143999	-84.31889	6.4290104	-70.08139	-110.83526	-84.31866	6.447663	-69.90592	-109.81624	84.132	1.0864226	93792.96070504189
97	-423.6572	42.74337	-343.9053	-486.03845	-383.37842	46.399185	-288.94873	-456.19818	100.0	100.0	145499	-84.332535	6.4233317	-69.95465	-109.52322	-84.332146	6.4419246	-69.89332	-109.32868	84.13751	1.1136853	94630.85710310936
98	-428.35135	26.367487	-378.16556	-485.90878	-385.42285	43.105286	-321.94662	-446.4641	100.0	100.0	146999	-84.3432	6.4266744	-69.81651	-110.03629	-84.34294	6.4444137	-69.782974	-109.102776	84.12629	1.117632	95856.70975399017
99	-411.69623	39.14627	-334.4985	-471.82318	-384.91464	38.0675	-308.64075	-452.2062	100.0	100.0	148499	-84.378334	6.4477925	-69.64529	-110.379005	-84.37814	6.465865	-69.41555	-109.1355	84.194954	1.1280367	96901.43972802162
100	-417.37918	42.926907	-323.62744	-460.90488	-389.11426	40.16476	-316.03864	-443.23874	100.0	100.0	149999	-84.3726	6.433031	-69.66516	-109.58986	-84.37196	6.451933	-69.52854	-109.38646	84.179115	1.1148044	97870.34535384178
101	-426.22995	34.26305	-359.36444	-482.54553	-397.82275	45.154613	-337.29987	-470.34283	100.0	100.0	151499	-84.39306	6.452683	-69.65869	-110.202225	-84.39334	6.469751	-69.65684	-109.329765	84.2157	1.1281028	98512.76364588737
102	-402.8619	49.75068	-316.40604	-477.54294	-402.79553	34.52437	-349.6128	-455.4879	100.0	100.0	152999	-84.380356	6.4790726	-69.77324	-110.08179	-84.380394	6.4966187	-69.728485	-110.34814	84.178116	1.1111726	99209.23227405548
103	-434.87302	31.960333	-359.6586	-479.6548	-397.228	70.998146	-238.70505	-476.92136	100.0	100.0	154499	-84.39504	6.472758	-69.764656	-110.474014	-84.394554	6.4908857	-69.68907	-109.02039	84.19642	1.1283008	99796.35886406898
104	-403.8006	40.14319	-335.13867	-477.1691	-407.62378	38.91151	-330.85526	-478.37277	100.0	100.0	155999	-84.41443	6.4939184	-69.591866	-110.49409	-84.41396	6.5120535	-69.71498	-109.846466	84.232	1.1169713	100939.211632967
